id;inn;id_subsidii
2310;7705532790;7768400
2481;6623009965;12446557
3058;4715019631;7763874
3580;7711000924;7768688
1550;5247004695;9516983
2156;268008010;9007157
2157;7709456519;9007157
4222;7414003633;9007157
5729;7449006730;9516983
6646;6311012176;9516983
9282;7717624407;9516983
13767;6025017624;6616914
14572;7116000066;7768400
14575;7816228080;7768400
14576;7724614449;6476149
16641;7816057195;6922631
17509;7611011062;6922631
17510;3245007545;6922631
17512;4703144927;6922631
18966;2631015563;7768400
1709;7709958212;7768400
2309;7712029010;6922631
701;7451109035;7768400
8036;7721203560;9516983
11521;3204001047;7763874
12232;6230054971;9516983
18101;6204001412;9516983
4065;6621009896;7763815
12196;6234028965;6616939
18370;4349004854;7763815
1709;7709958212;12446557
4135;7730052050;7763844
4504;7601000833;8870530
8340;6659190900;8870530
17722;6623029538;7763874
4130;3528032408;9516983
13131;3526016714;6476161
12068;4816024123;6476161
1543;4715028273;6476196
1603;5913001268;6476171
2084;5920015180;6476178
12292;6685074925;6616855
14237;5020080885;6616855
16620;7415029289;12427593
17802;7718195662;6476178
12068;4816024123;6616914
18747;4825087200;6476149
10156;5029006702;6616914
3580;7711000924;7768688
2060;6165005964;7752283
